"Archived_Sample_ID","Plot_ID","Profile_ID","Targeted_Sampling_Increment","Actual_Sampling_Increment","Sampling_Increment_Thickness","Sample_Volume","Fine_Earth_Dry_Mass","Root_Dry_Mass","Wood_Dry_Mass","Stone_Dry_Mass","Stone_Volume","Sieving_Comments","Fine_Earth_Mass_Density","Fine_Earth_Bulk_Density","Bulk_Density_Code","Texture","PH","Percent_Loss_On_Ignition","Percent_C_Concentration","C_Concentration_Code","Ca_Concentration","K_Concentration","Mg_Concentration","P_Concentration","Al_Concentration","Cu_Concentration","Fe_Concentration","Mn_Concentration","Na_Concentration","S_Concentration","Zn_Concentration","Acidity","ECEC","Root_C_Stock","Soil_C_Stock"
"L14-0002","IP1",".1","Oe","Oe",NA,NA,28.5,0,0,0,0,NA,12.67,NA,NA,NA,NA,NA,36.3,"UMBS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"L14-0003","IP1",".1","A","A",NA,NA,305.47,4.12,0,0,0,NA,135.76,NA,NA,"SAND",4.05,11,21.1,"UMBS",518,208,106,28.2,20.6,0.8,5.4,88,10.1,43.2,6.7,4.9,9,0.86,29
"L14-0004","IP1",".1","0--15","0--15",15,318.4,420.44,0.35,0.31,6.28,2.5,NA,NA,1.33,"M",NA,NA,NA,0.4,"JML",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,9
"L14-0005","IP1",".1","15--30","15--30",15,318.4,482.48,0.21,0.92,2.72,1.1,NA,NA,1.52,"M","SAND",4.61,1.3,0.5,"JML",13,12,3,2.8,150.1,0.1,15.4,4.4,2.2,5.6,1.2,1.1,1.2,0.28,12
"L14-0006","IP1",".1","30--60","30--60",30,636.8,1058.45,0.13,0.96,14.96,6,"NO CHARCOAL",NA,1.68,"M",NA,NA,NA,0.1,"AVG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,7
"L14-0007","IP1",".1","60--100","60--100",40,849.1,1551.57,0.01,0.16,27.01,10.8,NA,NA,1.85,"M","GRAVELLY SAND",5.54,0.2,0.1,"AVG",59,9,12,0.7,53.1,0.1,12.6,0.4,1.6,1.7,2.5,0,0.4,0,7
"L14-0009","IP1",".2","Oe","Oe",NA,NA,30,0,0,0,0,NA,13.33,NA,NA,NA,NA,NA,26.7,"UMBS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"L14-0010","IP1",".2","A","A",NA,NA,355.26,13.63,0,0,0,NA,157.89,NA,NA,"SAND",4.32,7.7,11.5,"UMBS",313,125,64,14,27.5,1.5,11.3,88.1,3.7,25,5.4,3.3,5.7,2.85,18
"L14-0011","IP1",".2","0--15","0--15",15,318.4,415.58,0.37,0.95,28.73,11.5,NA,NA,1.35,"M",NA,NA,NA,0.5,"JML",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38,10
"L14-0012","IP1",".2","15--30","15--30",15,318.4,429.74,0.62,0.51,73.85,29.5,NA,NA,1.49,"M","GRAVELLY SAND",4.65,0.9,0.6,"JML",26,15,4,1.7,118.5,0.1,10.9,12.8,1.9,4,2.2,1.2,1.4,0.4,13
"L14-0013","IP1",".2","30--60","30--60",30,636.8,865.79,0.18,0.2,41.86,16.7,"NO CHARCOAL",NA,1.4,"M",NA,NA,NA,0.2,"UMBS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,8
"L14-0014","IP1",".2","60--100","60--100",40,849.1,1472.71,0.1,0.01,27.31,10.9,NA,NA,1.76,"M","GRAVELLY SAND",5.44,0.2,0.1,"UMBS",69,8,8,0.4,32.5,0.1,5.8,1.5,1.6,1.7,1.4,0,0.4,0,8
"L14-0016","IP1",".3","Oe","Oe",NA,NA,34.09,0,0,0,0,NA,15.15,NA,NA,NA,NA,NA,39.4,"UMBS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"L14-0017","IP1",".3","A","A",NA,NA,219.86,6.78,0,0,0,NA,97.72,NA,NA,"SAND",3.97,30.3,33.7,"UMBS",646,190,116,26.2,17.1,1.2,4.1,84.2,12,45.4,7.8,5.4,10.2,1.42,33
"L14-0018","IP1",".3","0--15","0--15",15,318.4,328.88,0.41,1.29,30.73,12.3,NA,NA,1.07,"M",NA,NA,NA,1.2,"JML",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,20
"L14-0019","IP1",".3","15--30","15--30",15,318.4,413.99,0.12,5.87,44.69,17.9,"METAL PIPING",NA,1.38,"M","GRAVELLY SAND",4.42,0.9,0.6,"JML",36,11,9,2.1,95.9,0.1,23.7,6.9,6,4.3,2.5,1.7,2,0,13
"L14-0020","IP1",".3","30--60","30--60",30,636.8,913.87,0,0.16,78.98,31.6,NA,NA,1.51,"M",NA,NA,NA,0.3,"UMBS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,13
"L14-0021","IP1",".3","60--100","60--100",40,849.1,1488.02,0.01,0.41,79.85,31.9,NA,NA,1.82,"M","GRAVELLY SAND",5.16,0.2,0.1,"UMBS",39,11,14,1.1,74.6,0.1,10.2,2.1,2,2.7,1.5,0,0.3,0,10
"L14-0023","IP2",".1","Oe","Oe",NA,NA,33.34,0,0,0,0,NA,14.82,NA,NA,NA,NA,NA,40.1,"UMBS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"L14-0024","IP2",".1","A","A",NA,NA,348.74,5.97,0,0,0,NA,155,NA,NA,"SAND",4.71,15.4,22.3,"UMBS",1520,224,177,39,15.5,1.6,5,356.8,7.4,34.3,8,3.3,12.9,1.25,35
"L14-0025","IP2",".1","0--15","0--15",15,318.4,277.5,0.62,3.12,19.77,7.9,NA,NA,0.89,"M",NA,NA,NA,2.1,"JML",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.41,28
"L14-0026","IP2",".1","15--30","15--30",15,318.4,444.86,1.99,1.09,66.47,26.6,NA,NA,1.52,"M","GRAVELLY SAND",4.77,1.1,0.3,"UMBS",124,17,9,3.9,97.2,0.2,15,16.9,2.1,4.8,2.3,1.4,2.2,0.42,6
"L14-0027","IP2",".1","30--60","30--60",30,636.8,851.82,0.19,0.3,29.28,11.7,NA,NA,1.36,"M",NA,NA,NA,0.3,"UMBS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26,13
