Sort,Plot,Outside_historic_plot,Measure_year,Date,Origin_year,Stand_year,Common_name,Species_code,Old_tag,LTREB_tag,DBH_cm,As_class,AGB_kg,Height_stem,Height_dead,Distance,Azimuth,Status,Notes
1,BS34A,NA,1934,NA,1879,55,Acer pensylvanicum,ACPE,224,NA,3.8,NA,3.2,NA,NA,NA,NA,NA,NA
2,BS34A,NA,1982,NA,1879,103,Acer pensylvanicum,ACPE,375B,NA,3.8,NA,3.2,NA,NA,NA,NA,NA,NA
3,BS34A,NA,1982,NA,1879,103,Acer pensylvanicum,ACPE,386A,NA,3.8,NA,3.2,NA,NA,NA,NA,NA,NA
4,BS34A,NA,1934,NA,1879,55,Acer pensylvanicum,ACPE,1,NA,4.1,NA,3.6,NA,NA,NA,NA,NA,NA
5,BS34A,NA,1934,NA,1879,55,Acer pensylvanicum,ACPE,25,NA,4.1,NA,3.6,NA,NA,NA,NA,NA,NA
6,BS34A,NA,1934,NA,1879,55,Acer pensylvanicum,ACPE,34,NA,4.1,NA,3.6,NA,NA,NA,NA,NA,NA
7,BS34A,NA,1982,NA,1879,103,Acer pensylvanicum,ACPE,176D,NA,4.3,NA,4.2,NA,NA,NA,NA,NA,NA
8,BS34A,NA,1939,NA,1879,60,Acer pensylvanicum,ACPE,1,NA,4.6,NA,4.7,NA,NA,NA,NA,NA,NA
9,BS34A,NA,1934,NA,1879,55,Acer pensylvanicum,ACPE,31,NA,4.8,NA,5.3,NA,NA,NA,NA,NA,NA
10,BS34A,NA,1934,NA,1879,55,Acer pensylvanicum,ACPE,45,NA,4.8,NA,5.3,NA,NA,NA,NA,NA,NA
11,BS34A,NA,1939,NA,1879,60,Acer pensylvanicum,ACPE,25,NA,4.8,NA,5.3,NA,NA,NA,NA,NA,NA
12,BS34A,NA,1939,NA,1879,60,Acer pensylvanicum,ACPE,224,NA,4.8,NA,5.3,NA,NA,NA,NA,NA,NA
13,BS34A,NA,1934,NA,1879,55,Acer pensylvanicum,ACPE,241,NA,5.1,NA,5.9,NA,NA,NA,NA,NA,NA
14,BS34A,NA,1934,NA,1879,55,Acer pensylvanicum,ACPE,492,NA,5.1,NA,5.9,NA,NA,NA,NA,NA,NA
15,BS34A,NA,1939,NA,1879,60,Acer pensylvanicum,ACPE,34,NA,5.1,NA,5.9,NA,NA,NA,NA,NA,NA
16,BS34A,NA,1944,NA,1879,65,Acer pensylvanicum,ACPE,1,NA,5.1,NA,5.9,NA,NA,NA,NA,NA,NA
17,BS34A,NA,1944,NA,1879,65,Acer pensylvanicum,ACPE,25,NA,5.1,NA,5.9,NA,NA,NA,NA,NA,NA
18,BS34A,NA,1949,NA,1879,70,Acer pensylvanicum,ACPE,1,NA,5.1,NA,5.9,NA,NA,NA,NA,NA,NA
19,BS34A,NA,1939,NA,1879,60,Acer pensylvanicum,ACPE,492,NA,5.6,NA,7.3,NA,NA,NA,NA,NA,NA
20,BS34A,NA,1982,NA,1879,103,Acer pensylvanicum,ACPE,40C,NA,5.6,NA,7.3,NA,NA,NA,NA,NA,NA
21,BS34A,NA,1934,NA,1879,55,Acer pensylvanicum,ACPE,26,NA,5.8,NA,8,NA,NA,NA,NA,NA,NA
22,BS34A,NA,1939,NA,1879,60,Acer pensylvanicum,ACPE,31,NA,5.8,NA,8,NA,NA,NA,NA,NA,NA
23,BS34A,NA,1939,NA,1879,60,Acer pensylvanicum,ACPE,45,NA,5.8,NA,8,NA,NA,NA,NA,NA,NA
24,BS34A,NA,1944,NA,1879,65,Acer pensylvanicum,ACPE,34,NA,5.8,NA,8,NA,NA,NA,NA,NA,NA
25,BS34A,NA,1944,NA,1879,65,Acer pensylvanicum,ACPE,31,NA,6.1,NA,8.8,NA,NA,NA,NA,NA,NA
26,BS34A,NA,1949,NA,1879,70,Acer pensylvanicum,ACPE,31,NA,6.4,NA,9.6,NA,NA,NA,NA,NA,NA
27,BS34A,NA,1954,NA,1879,75,Acer pensylvanicum,ACPE,31,NA,6.4,NA,9.6,NA,NA,NA,NA,NA,NA
